[Data],,,
Sample_Name,Sample_Group,Sentrix_ID,Sentrix_Position
LGA1,LGA,3999442103,R01C01
N1,CTR,3999442103,R02C01
HGA1,HGA,3999442103,R03C01
LGA2,LGA,3999442103,R04C01
N2,CTR,3999442103,R05C01
HGA2,HGA,3999442103,R06C01
LGA3,LGA,3999442103,R01C02
N3,CTR,3999442103,R02C02
HGA3,HGA,3999442103,R03C02
HGA4,HGA,3999442103,R04C02
N4,CTR,3999442103,R05C02
LGA4,LGA,3999442103,R06C02
N5,CTR,3999442051,R01C01
LGA5,LGA,3999442051,R02C01
N6,CTR,3999442051,R03C01
HGA5,HGA,3999442051,R04C01
N7,CTR,3999442051,R05C01
LGA6,LGA,3999442051,R06C01
N8,CTR,3999442051,R01C02
HGA6,HGA,3999442051,R02C02
N9,CTR,3999442051,R03C02
HGA7,HGA,3999442051,R04C02
LGA7,LGA,3999442051,R05C02
N10,CTR,3999442051,R06C02
LGA8,LGA,3999442112,R01C01
HGA8,HGA,3999442112,R02C01
N11,CTR,3999442112,R03C01
HGA9,HGA,3999442112,R04C01
HGA10,HGA,3999442112,R05C01
N12,CTR,3999442112,R06C01
HGA11,HGA,3999442112,R01C02
HGA12,HGA,3999442112,R02C02
N13,CTR,3999442112,R03C02
HGA13,HGA,3999442112,R04C02
N14,CTR,3999442112,R05C02
LGA9,LGA,3999442112,R06C02
LGA10,LGA,3999442050,R01C01
HGA14,HGA,3999442050,R02C01
N16,CTR,3999442050,R03C01
LGA11,LGA,3999442050,R04C01
LGA12,LGA,3999442050,R05C01
N16,CTR,3999442050,R06C01
LGA13,LGA,3999442050,R01C02
N17,CTR,3999442050,R02C02
N18,CTR,3999442050,R03C02
LGA14,LGA,3999442050,R04C02
HGA15,HGA,3999442050,R05C02
LGA15,LGA,3999442050,R06C02
N19,CTR,3999442119,R01C01
N20,CTR,3999442119,R02C01
HGA16,HGA,3999442119,R03C01
LGA16,LGA,3999442119,R04C01
HGA17,HGA,3999442119,R05C01
HGA18,HGA,3999442119,R06C01
HGA19,HGA,3999442119,R01C02
LGA17,LGA,3999442119,R02C02
LGA18,LGA,3999442119,R03C02
HGA20,HGA,3999442119,R04C02
HGA21,HGA,3999442119,R05C02
HGA22,HGA,3999442119,R06C02
